Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Fusigobius,duospilus,Gobiidae,Fusigobius duospilus,0.00891,3.07,1,6,total length,3.2,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pterocaesio,tile,Caesioinidae,Pterocaesio tile,0.013,3.268,0.863,30,total length,3.33,23.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Siganus,woodlandi,Siganidae,Siganus woodlandi,0.01585,3.07,1,22.5,standard length,,19.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Plectorhinchus,vittatus,Haemulidae,Plectorhinchus vittatus,0.01349,3.01,1,72,standard length,3.9,61.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Chromis,nigrura,Pomacentridae,Chromis nigrura,0.01778,2.99,1,6,total length,3.4,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Mugil,incilis,Mugilidae,Mugil incilis,0.0151,2.87,1,40,total length,2,19.93,Tropical Atlantic,,herbivore-detritivore,detritivore,large group
Hypsypops,rubicundus,Pomacentridae,Hypsypops rubicundus,0.02239,2.99,1,30,standard length,3.2,51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Pempheris,schwenkii,Pempheridae,Pempheris schwenkii,0.01585,2.99,1,15,total length,3.4,22.52,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Anchoa,hepsetus,Engraulidae,Anchoa hepsetus,0.006898,3.144601,1,15.3,total length,3.34,14.62,Tropical Atlantic,,planktivore,planktivore,large group
Centropomus,undecimalis,Centropomidae,Centropomus undecimalis,0.012177,2.907232,1,140,total length,4.17,45.7,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Lutjanus,viridis,Lutjanidae,Lutjanus viridis,0.01445,2.98,1,30,total length,4.16,26.59,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Chaetodon,blackburnii,Chaetodontidae,Chaetodon blackburnii,0.02291,3.01,1,13,total length,2.73,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Acanthurus,tristis,Acanthuridae,Acanthurus tristis,0.02291,2.96,1,25,total length,2.18,24.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Zoramia,leptacantha,Apogonidae,Zoramia leptacantha,0.01549,3.07,1,6,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Hyporhamphus,affinis,Hemiramphidae,Hyporhamphus affinis,0.00068,3.57549,0.96,38,standard length,3.46,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Cephalopholis,panamensis,Serranidae,Cephalopholis panamensis,0.0217,3.035,0.847458,39,total length,4.2,39.06,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Oxyurichthys,stigmalophius,Gobiidae,Oxyurichthys stigmalophius,0.00724,3,1,16.5,total length,3.8,28,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Myripristis,robusta,Holocentridae,Myripristis robusta,0.01778,3.05,1,22,total length,3.4,17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Istiblennius,lineatus,Blenniidae,Istiblennius lineatus,0.00741,3,1,15,total length,2,26.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Chrysiptera,oxycephala,Pomacentridae,Chrysiptera oxycephala,0.02239,2.99,1,9,total length,2.73,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,pair
Meuschenia,trachylepis,Monocanthidae,Meuschenia trachylepis,0.02188,2.91,1,40,total length,2.8,40.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Mugil,liza,Mugilidae,Mugil liza,0.015169,2.905158,1,80,total length,2,37.28,Tropical Atlantic,,herbivore-detritivore,detritivore,large group
Echidna,unicolor,Muraenidae,Echidna unicolor,0.00049,3.1,1,40,total length,3.4,34.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Epinephelus,amblycephalus,Serranidae,Epinephelus amblycephalus,0.01148,3.04,1,50,total length,3.8,42.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Synodus,ulae,Synodontidae,Synodus ulae,0.00407,3.19,1,30,standard length,4.2,27.74,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Stethojulis,bandanensis,Labridae,Stethojulis bandanensis,0.03035,2.581,0.925,15,total length,3.31,24.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Strongylura,notata forsythia,Belonidae,Strongylura notata forsythia,0.00105,3.07,1,40.5,standard length,3.88,62.32,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Pseudolabrus,gayi,Labridae,Pseudolabrus gayi,0.01,3.04,1,9.7,standard length,3.3,23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sphyraena,waitii,Sphyraenidae,Sphyraena waitii,0.009655,2.831745,0.95,31,fork length,4.2,31.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Pseudanthias,oumati,Serranidae,Pseudanthias oumati,0.02512,2.97,1,,,3.3,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Opistognathus,punctatus,Opistognathidae,Opistognathus punctatus,0.00389,3.12,1,40.6,total length,3.84,21.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Nemipterus,zysron,Nemipteridae,Nemipterus zysron,0.0384,2.84,0.772,29.7,total length,3.5,25.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Narcine,entemedor,Narcinidae,Narcine entemedor,0.0121,2.98,1,76.2,total length,3.03,32.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,
Enneanectes,jordani,Tripterygiidae,Enneanectes jordani,0.005,3.08,1,4,total length,2.8,10,Tropical Atlantic,,herbivore-detritivore,detritivore,small group
Pseudanthias,pascalus,Serranidae,Pseudanthias pascalus,0.00933,2.97,1,20,total length,3.33,24.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Stegastes,diencaeus,Pomacentridae,Stegastes diencaeus,0.01995,2.99,1,12.5,total length,2,24.15,Tropical Atlantic,,herbivore-detritivore,cropper/grazer,solitary
Halichoeres,poeyi,Labridae,Halichoeres poeyi,0.009328,3.083204,1,20,total length,3.67,28.88,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Aulostomus,chinensis,Aulostomidae,Aulostomus chinensis,0.000728,3.69717,1,80,total length,4.24,33.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Carangoides,bajad,Carangidae,Carangoides bajad,0.0199,2.869,0.924214,55,total length,3.97,26.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Scarus,scaber,Scaridae,Scarus scaber,0.0278,2.857,1,37,total length,2,20.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,medium group
Epinephelus,polyphekadion,Serranidae,Epinephelus polyphekadion,0.010369,3.121443,1,90,standard length,4.03,52.06,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chlorurus,oedema,Scaridae,Chlorurus oedema,0.01995,3.01,1,42,total length,2,30.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,solitary
Trachinotus,stilbe,Carangidae,Trachinotus stilbe,0.01288,2.96,1,34,fork length,3.6,29.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Cheilodactylus,vittatus,Cheilodactylidae,Cheilodactylus vittatus,0.0123,3.02,1,41,total length,3.42,45.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Luzonichthys,earlei,Serranidae,Luzonichthys earlei,0.00389,3.12,1,5.5,total length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Priolepis,hipoliti,Gobiidae,Priolepis hipoliti,0.0133,2.9,1,4,total length,3.5,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Ostorhinchus,hoevenii,Apogonidae,Ostorhinchus hoevenii,0.01218,3.1,1,6,total length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Neoglyphidodon,melas,Pomacentridae,Neoglyphidodon melas,0.00239,2.99,1,18,total length,3.43,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Anampses,caeruleopunctatus,Labridae,Anampses caeruleopunctatus,0.01,3.06,1,42,total length,3.37,40.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cheilodipterus,novemstriatus,Apogonidae,Cheilodipterus novemstriatus,0.01096,3.11,1,8,total length,3.7,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Lactoria,cornuta,Ostraciidae,Lactoria cornuta,0.01698,2.9383,1,46,total length,3.5,23.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Squalus,acanthias,Squalidae,Squalus acanthias,0.001172,3.33078,1,160,total length,3.89,67.94,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Suezichthys,arquatus,Labridae,Suezichthys arquatus,0.00447,3.14,1,13.5,total length,3.5,23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Epinephelus,fasciatus,Serranidae,Epinephelus fasciatus,0.014125,3.037035,1,40,total length,3.85,53.43,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Doryrhamphus,japonicus,Syngnathidae,Doryrhamphus japonicus,0.00085,3.03,1,8.5,total length,3.7,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Arothron,manilensis,Tetraodontidae,Arothron manilensis,0.038744,2.801502,1,31,total length,3.8,25.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Choerodon,graphicus,Labridae,Choerodon graphicus,0.0145,3.125,1,51.5,total length,4.27,50.33,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sphyrna,mokarran,Sphyrnidae,Sphyrna mokarran,0.00191,3.16,1,610,total length,4.43,86.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Epinephelides,armatus,Serranidae,Epinephelides armatus,0.00933,2.97,1,56,total length,3.7,53.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Pomadasys,furcatus,Haemulidae,Pomadasys furcatus,0.01585,2.98,1,50,fork length,3.5,50.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudolabrus,biserialis,Labridae,Pseudolabrus biserialis,0.01995,2.99,1,17.2,standard length,3.5,31.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Lutjanus,sebae,Lutjanidae,Lutjanus sebae,0.01264,3.071377,1,116,fork length,3.86,58.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Ostorhinchus,victoriae,Apogonidae,Ostorhinchus victoriae,0.01096,3.11,1,8,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Carcharhinus,sorrah,Carcharhinidae,Carcharhinus sorrah,0.012993,3.018971,1,160,total length,4.31,50.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Coradion,melanopus,Chaetodontidae,Coradion melanopus,0.02188,3.02,1,15,total length,2.8,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,pair
Gramma,loreto,Grammatidae,Gramma loreto,0.00389,3.12,1,8,total length,3.31,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,small group
Centropyge,argi,Pomacanthidae,Centropyge argi,0.03311,2.88,1,8,total length,2,13,Tropical Atlantic,,herbivore-detritivore,cropper/grazer,pair
Lythrypnus,dalli,Gobiidae,Lythrypnus dalli,0.00992,2.973,1,6.4,total length,3.21,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Malacoctenus,ebisui,Labrisomidae,Malacoctenus ebisui,0.00955,3.04,1,6.5,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Synodus,intermedius,Synodontidae,Synodus intermedius,0.00566,3.064529,1,46,total length,4.35,28.77,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Myripristis,berndti,Holocentridae,Myripristis berndti,0.0168,3.0612,1,30,total length,3.72,22.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Roa,modesta,Chaetodontidae,Roa modesta,0.02291,3.01,1,17,total length,3.5,12.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Parapercis,millepunctata,Pinguipedidae,Parapercis millepunctata,0.00646,3.1,1,18,total length,3.54,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Kyphosus,pacificus,Kyphosidae,Kyphosus pacificus,0.0182,3.03,1,75,total length,2.5,56.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,medium group
Plagiotremus,townsendi,Blenniidae,Plagiotremus townsendi,0.00537,3.05,1,6,total length,3.8,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Sparisoma,radians,Scaridae,Sparisoma radians,0.0179,3.0348,1,20,total length,2,15.77,Tropical Atlantic,,herbivore-detritivore,excavator,small group
Carcharhinus,galapagensis,Carcharhinidae,Carcharhinus galapagensis,0.00468,3.1,1,370,total length,4.34,84.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Amblyeleotris,steinitzi,Gobiidae,Amblyeleotris steinitzi,0.00617,3.08,1,13,standard length,3.5,30.38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Centropyge,nox,Pomacanthidae,Centropyge nox,0.0302,2.89,1,10,total length,2.79,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Parajulis,poecilepterus,Labridae,Parajulis poecilepterus,0.0098,3.21,1,34,total length,3.6,38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Cephalopholis,sexmaculata,Serranidae,Cephalopholis sexmaculata,0.01259,3.05,1,50,total length,4,33.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Amphiprion,akallopisos,Pomacentridae,Amphiprion akallopisos,0.01122,3.04,1,11,standard length,2.73,26.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Plectorhinchus,chaetodonoides,Haemulidae,Plectorhinchus chaetodonoides,0.024973,3.022693,0.98,72,total length,3.83,54.35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Halichoeres,marginatus,Labridae,Halichoeres marginatus,0.00526,3.414,1,18,total length,3.19,19.61,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chaetodon,trifasciatus,Chaetodontidae,Chaetodon trifasciatus,0.031917,3.039268,1,15,total length,3.34,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Leptoscarus,vaigiensis,Scaridae,Leptoscarus vaigiensis,0.017687,2.961067,1,35,total length,2.27,27.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,medium group
Canthigaster,punctata,Tetraodontidae,Canthigaster punctata,0.02818,2.094,1,,,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Cymbacephalus,staigeri,Platycephalidae,Cymbacephalus staigeri,0.00412,3.205,1,50,total length,3.9,36.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Erotelis,smaragdus,Eleotridae,Erotelis smaragdus,0.01047,3.06,1,20,total length,3.4,27,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Syngnathus,caribbaeus,Syngnathidae,Syngnathus caribbaeus,0.0004,3.12,1,22.5,total length,3.3,17,Tropical Atlantic,,invertivore-mobile,micro-invertivore,pair
Coradion,altivelis,Chaetodontidae,Coradion altivelis,0.02188,3.02,1,18,total length,2.68,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Neoglyphidodon,bonang,Pomacentridae,Neoglyphidodon bonang,0.00239,2.99,1,13.5,total length,3.02,24.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Epinephelus,coioides,Serranidae,Epinephelus coioides,0.015147,3.026848,1,120,total length,3.95,57.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chromis,nigroanalis,Pomacentridae,Chromis nigroanalis,0.01778,2.99,1,12,total length,3,23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pteragogus,pelycus,Labridae,Pteragogus pelycus,0.0166,2.95,1,15,total length,3.5,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Aulacocephalus,temminckii,Serranidae,Aulacocephalus temminckii,0.01122,3.06,1,40,total length,3.97,36.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Stegastes,nigricans,Pomacentridae,Stegastes nigricans,0.022,3.086,1,14,total length,2.93,12.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Apogon,robbyi,Apogonidae,Apogon robbyi,0.01549,3.07,1,3.59,standard length,3.3,10,Tropical Atlantic,,planktivore,planktivore,small group
Gymnothorax,favagineus,Muraenidae,Gymnothorax favagineus,0.00095,3.1,1,300,total length,4.24,85.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Diplectrum,formosum,Serranidae,Diplectrum formosum,0.005411,3.140246,1,30,total length,4.15,14.62,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Myripristis,hexagona,Holocentridae,Myripristis hexagona,0.0187,3.04,1,30,total length,3.1,22.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pseudanthias,leucozonus,Serranidae,Pseudanthias leucozonus,0.00933,2.97,1,10,standard length,3.4,17.71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Sufflamen,bursa,Balistidae,Sufflamen bursa,0.0257,2.94,1,25,total length,2.9,27.8,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Caranx,sexfasciatus,Carangidae,Caranx sexfasciatus,0.014866,2.994104,1,120,total length,4.5,45.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,medium group
Pristis,pristis,Pristidae,Pristis pristis,0.00501,3.05,1,750,total length,3.97,75.12,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Carangoides,orthogrammus,Carangidae,Carangoides orthogrammus,0.011985,3.009928,1,75,total length,4.48,37.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Dascyllus,reticulatus,Pomacentridae,Dascyllus reticulatus,0.035245,2.943364,1,9,total length,3.13,24.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,medium group
Hypoatherina,barnesi,Atherinidae,Hypoatherina barnesi,0.00562,3.11,1,9.98,total length,3.3,27,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Eastern Pacific,Western Indo-Pacific",,planktivore,planktivore,
Parapercis,signata,Pinguipedidae,Parapercis signata,0.00646,3.1,1,13,total length,4.02,22.27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Carcharhinus,plumbeus,Carcharhinidae,Carcharhinus plumbeus,0.00639,3.012,1,180,total length,4.23,87.51,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Dactyloptena,orientalis,Dactylopteridae,Dactyloptena orientalis,0.03128,3,0.75,40,total length,3.68,18.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Prionotus,roseus,Triglidae,Prionotus roseus,0.0122,3.178,1,20,total length,3.5,24.79,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Alosa,alabamae,Clupeidae,Alosa alabamae,0.00813,3.04,1,51,standard length,3.8,47.4,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Chrysiptera,starcki,Pomacentridae,Chrysiptera starcki,0.01479,2.98,1,7,standard length,2.76,17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Umbrina,coroides,Sciaenidae,Umbrina coroides,0.0066,3.2,1,35,total length,3.28,26.16,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Prognathodes,aculeatus,Chaetodontidae,Prognathodes aculeatus,0.02188,3.02,1,10,total length,3.5,10,Tropical Atlantic,,invertivore-sessile,micro-invertivore,solitary
Kyphosus,elegans,Kyphosidae,Kyphosus elegans,0.0182,3.03,1,53,total length,2.94,42.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Mycteroperca,rosacea,Serranidae,Mycteroperca rosacea,0.0133,2.97,1,86,total length,4.5,66.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Platygillellus,rubrocinctus,Dactyloscopidae,Platygillellus rubrocinctus,0.01,3.041,1,6.4,total length,4.3,10,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Micropogonias,furnieri,Sciaenidae,Micropogonias furnieri,0.010319,2.97588,1,60,standard length,3.27,66.09,Tropical Atlantic,,invertivore-mobile,macro-invertivore,large group
Amblyglyphidodon,ternatensis,Pomacentridae,Amblyglyphidodon ternatensis,0.02239,2.99,1,10,standard length,2.69,24.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Sargocentron,praslin,Holocentridae,Sargocentron praslin,0.0166,2.97,1,32,total length,3.7,23.99,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,macro-invertivore,small group
Hypoplectrus,guttavarius,Serranidae,Hypoplectrus guttavarius,0.01778,3.03,1,13,total length,3.8,17.89,Tropical Atlantic,,invertivore-mobile,macro-invertivore,pair
Centropyge,bicolor,Pomacanthidae,Centropyge bicolor,0.0302,2.89,1,15,total length,2.97,23.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Achirus,lineatus,Achiridae,Achirus lineatus,0.021038,3.075484,1,23,total length,3.67,28.76,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Scolopsis,monogramma,Nemipteridae,Scolopsis monogramma,0.025,3.104,0.748,38,total length,3.86,31.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Gunnelichthys,viridescens,Microdesmidae,Gunnelichthys viridescens,0.00389,3.12,1,12,standard length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Sargocentron,suborbitale,Holocentridae,Sargocentron suborbitale,0.0166,2.97,1,25.4,total length,3.45,19.2,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Hemigymnus,fasciatus,Labridae,Hemigymnus fasciatus,0.02423,2.92262,1,30,total length,3.5,34.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Priacanthus,arenatus,Priacanthidae,Priacanthus arenatus,0.027333,2.855185,1,50,total length,4.04,24.62,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Pteragogus,trispilus,Labridae,Pteragogus trispilus,0.01995,3,1,7.9,standard length,3.4,17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chromis,mirationis,Pomacentridae,Chromis mirationis,0.01778,2.99,1,11,standard length,2.65,26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chromis,pembae,Pomacentridae,Chromis pembae,0.01778,2.99,1,13,total length,2.67,24.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Epinephelus,chlorostigma,Serranidae,Epinephelus chlorostigma,0.0164,3.04,1,80,total length,3.99,37.9,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
